,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_curso
3986,517173d2b2728397195b225f6f7d74bc,M,17_06_1989,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,CAICO,CENTRO,GRADUACAO,SISU,2013,1.0,F,92127264.0
3999,1eabcab3b3c7c01fcc616d3639b7bb0a,M,23_12_1991,BRANCO,CEARA,CEDRO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2013,1.0,F,92127264.0
4014,71a6b147edcf1826c36a5bb4ed1e28ca,M,21_09_1994,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PIRANGI_DO_NORTE_(DISTRITO_LITORAL),GRADUACAO,VESTIBULAR,2013,1.0,T,92127264.0
4038,9632d5f4aa708c6f65db3e91b1e66b3a,M,14_01_1992,BRANCO,PARAIBA,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,PIUM,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
4059,da437177e090ab90ea33ba772cfbae03,M,15_05_1991,BRANCO,RIO_GRANDE_DO_NORTE,MACAU,RIO_GRANDE_DO_NORTE,NATAL,NOSSA_SENHORA_DE_NAZARE,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
4085,a9d5358e13241d1fc953196fa2983412,M,19_04_1993,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,TANGARA,CENTRO,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
4109,bc2bc7b8d6d7550aeaf952fd146e716e,M,13_07_1992,BRANCO,PERNAMBUCO,RECIFE,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
4135,16c97a3ba2ab18d238f50e4f3fbf5f34,M,26_02_1995,PARDO,RIO_GRANDE_DO_NORTE,GOIANINHA,RIO_GRANDE_DO_NORTE,GOIANINHA,MIRANDA,GRADUACAO,SISU,2013,1.0,T,92127264.0
4159,7dd1c07f788951271820d1cb7b1b5bf7,M,20_05_1990,PARDO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2013,1.0,F,92127264.0
4176,c6e6b75a1e8fb3912dc281802313a782,M,05_01_1995,BRANCO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2013,1.0,F,92127264.0
4202,6b22d39a32854da526e3c3ec31f8c821,F,05_08_1994,NEGRO,ALAGOAS,MACEIO,RIO_GRANDE_DO_NORTE,NATAL,EMAUS,GRADUACAO,SISU,2013,1.0,T,92127264.0
4228,63e97bc77196994b439cb853cea9d42d,F,10_07_1994,BRANCO,RIO_GRANDE_DO_NORTE,PAU_DOS_FERROS,RIO_GRANDE_DO_NORTE,DOUTOR_SEVERIANO,CENTRO,GRADUACAO,SISU,2013,1.0,F,92127264.0
4254,21578b211a3534db950c55977b19b5d8,M,21_08_1994,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CAPIM_MACIO,GRADUACAO,SISU,2013,1.0,F,92127264.0
4278,cb5af6571a4fea0ecf8163f351e66725,M,09_10_1995,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,SISU,2013,1.0,F,92127264.0
4304,43421c45261cebcfc72168f66bd12e73,M,01_10_1994,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4328,7a4c4b293541c00f8352c2fa485b547c,M,27_12_1994,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2013,1.0,F,92127264.0
4352,c8aa47370df99dd83b39f2b700ae146c,M,21_12_1995,BRANCO,SAO_PAULO,SAO_JOSE_DOS_CAMPOS,RIO_GRANDE_DO_NORTE,PARNAMIRIM,EMAUS,GRADUACAO,SISU,2013,1.0,T,92127264.0
4379,3b48300bd7aff535ce9d374f07552021,M,03_10_1993,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4398,25f94fcc32d86e16b03a4eb2847015ad,M,10_11_1996,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PARQUE_MANIBURA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4422,12c07d1a6488bd67f275e32778485944,F,02_01_1992,PARDO,PARA,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4435,c994ff29cec13e6ccbf6e734e9aec57f,M,12_11_1994,PARDO,RORAIMA,BOA_VISTA,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4459,7a08bd446a765d020e765448e2724b4a,M,28_12_1991,BRANCO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2013,1.0,F,92127264.0
4474,50ef20e392ee115190b1823ca9bd17fa,F,24_01_1987,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PONTA_NEGRA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4483,55f5a9ca42b3b65701d611e5d965101c,F,18_12_1995,PARDO,RIO_GRANDE_DO_NORTE,SANTO_ANTONIO,RIO_GRANDE_DO_NORTE,SANTO_ANTONIO,CENTRO,GRADUACAO,SISU,2013,1.0,F,92127264.0
4500,01294a8ac025310e6a73a4bd4d80f29a,M,21_09_1992,BRANCO,RIO_GRANDE_DO_NORTE,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,SISU,2013,1.0,T,92127264.0
4507,d245a0557ccbd00325c640f5dd5e7789,M,06_12_1991,BRANCO,MINAS_GERAIS,ITAJUBA,RIO_GRANDE_DO_NORTE,NATAL,PETROPOLIS,GRADUACAO,SISU,2013,1.0,F,92127264.0
4524,acd85b4cb11c27afa7795101cb6dedb5,M,20_06_1982,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,EXTREMOZ,PITANGUI,GRADUACAO,SISU,2013,1.0,F,92127264.0
4541,7fb9a1de8e122bcbe6d96d62fce5dd84,M,01_03_1983,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,SISU,2013,1.0,F,92127264.0
4558,90f448e7f8ad053e56384ea895657d23,F,09_12_1981,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,PETROPOLIS,GRADUACAO,SISU,2013,1.0,F,92127264.0
4571,8b4ff5b0727fba08cd4826aa4feefdba,M,01_03_1982,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,CAJUPIRANGA,GRADUACAO,SISU,2013,1.0,F,92127264.0
4586,97f0b57be54fb26d2bc34a6087d11876,M,08_05_1989,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CIDADE_NOVA,GRADUACAO,SISU,2013,1.0,F,92127264.0
