,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_turma,id_curso,unidade,nota,reposicao,faltas_unidade,media_final,numero_total_faltas,descricao
4799,adbe26ddc8bc24ae4ea69b38868715eb,M,04-05-1993,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,PITIMBU,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,,,,,,,DESISTENCIA
4822,480a730ca3e8657e4d203f06d6baaae1,M,15-07-1995,Pardo,Rio Grande do Norte,MACAU,Rio Grande do Norte,SÃO BENTO DO NORTE,CENTRO,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,6.8,f,0.0,7.9,0.0,APROVADO
4840,643c9220efb15461041ff2d9323d6794,M,30-03-1995,Pardo,Pará,BELÉM,Rio Grande do Norte,PARNAMIRIM,COHABINAL,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,2.0,4.3,f,0.0,5.5,8.0,APROVADO POR NOTA
4856,67a2305ac18535bd05e6070ae5befc1c,M,25-01-1993,Pardo,São Paulo,NÃO INFORMADO,Rio Grande do Norte,NATAL,NEÓPOLIS,GRADUAÇÃO,SiSU,2014,1.0,t,1217921,92127264.0,1.0,5.6,f,0.0,5.4,6.0,APROVADO
4874,b62c9aa529d23faf40ce26f99b3de7e3,M,30-11-1991,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,0.0,f,0.0,,0.0,EXCLUIDA
4892,deef0a878b7ac3d6e642ed295a0e739e,M,29-10-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,CAPIM MACIO,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,7.8,f,0.0,8.2,6.0,APROVADO
4914,27a86baa1e6bf11c2b06e41852647da7,M,28-11-1995,Negro,Rio de Janeiro,RIO DE JANEIRO,Rio Grande do Norte,NATAL,PITIMBU,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,7.1,f,0.0,7.9,0.0,APROVADO
4930,777afa50a3eae76c110581407b1e3129,M,16-09-1992,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,,,,,,,EXCLUIDA
4949,30327d430572d0c720dcd1682a39c361,M,26-07-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,PASSAGEM DE AREIA,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,6.7,f,0.0,7.7,2.0,APROVADO
4965,15f5e1533bd363c766d01f75ebcbe2b7,M,16-01-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,CAPIM MACIO,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,2.0,3.7,t,0.0,5.1,0.0,APROVADO
4987,2d85991ca3a11cc43be743e75a5fa6f6,M,22-12-1995,Pardo,Rio Grande do Norte,JOÃO CÂMARA,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,,,,,,,CANCELADO
4999,16bcf9f32c941fa63a6b0ae2cb03fdcf,M,08-11-1994,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PAU DOS FERROS,NACOES UNIDAS,GRADUAÇÃO,SiSU,2014,1.0,t,1217921,92127264.0,1.0,7.6,f,0.0,8.2,4.0,APROVADO
5017,7aea108e2588c3d3fabebe50ee7966c0,M,04-02-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NOSSA SENHORA DE NAZARÉ,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,,,,,,,CANCELADO
5029,240d89786f849e37a4d06809e635fa47,M,01-04-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NEÓPOLIS,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,6.7,f,0.0,5.7,0.0,APROVADO POR NOTA
5047,8cf52a04b4b12e332f8a54264a52ba53,M,30-10-1990,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,JARDIM PLANALTO,GRADUAÇÃO,SiSU,2014,1.0,t,1217922,92127264.0,1.0,7.5,f,0.0,8.1,2.0,APROVADO
5065,685d382aceefa5031509c9bb87e613dd,M,31-08-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NEÓPOLIS,GRADUAÇÃO,SiSU,2014,1.0,f,1217922,92127264.0,1.0,5.6,f,0.0,6.6,4.0,APROVADO POR NOTA
