"discente","sexo","nota_final","cotista","cep","descricao"
"5d667477b6093d49e36c928b2d69d93f","M",683.2700,t,"59000-000","GRADUAÇÃO"
"12b175a015018b2888125d4b58236040","M",661.1900,t,"59000-000","GRADUAÇÃO"
"bc9485e150464d2fb3e02c0c6f5eab4e","F",587.7300,f,"59000-000","GRADUAÇÃO"
"e455b1c4f72fee24c4029a3cbc80d947","F",707.7200,f,"59000-000","GRADUAÇÃO"
"","F",5.0300,f,"59000-000","GRADUAÇÃO"
"334f59746facdfcbc98c61ced5c5bae0","F",617.7200,t,"59000-000","GRADUAÇÃO"
"0a4ea2960fa7055ca71c4b01895c2ff6","M",694.6900,f,"59000-000","GRADUAÇÃO"
"4fd61917410d6a71d469c38d48f125a3","F",555.9800,t,"59000-000","GRADUAÇÃO"
"4fd61917410d6a71d469c38d48f125a3","F",555.9800,t,"59000-000","GRADUAÇÃO"
"81c8dec9d746583364c87ddb3ff97019","F",562.7900,t,"59000-000","GRADUAÇÃO"
"fbbf4b7175a9b4c58d782a54f4ed1b32","M",441.8700,f,"59000-000","GRADUAÇÃO"
"3147546402591f989918153827d4209c","M",657.9100,t,"59000-000","GRADUAÇÃO"
"95a45e3dfaff9aa703dd73045e54a4a0","F",469.4800,t,"59000-000","GRADUAÇÃO"
"271fc0948e74f5654a62a766ca2ff479","M",620.6000,t,"59000-000","GRADUAÇÃO"
"0a214a83e93002d6fb04c4d2be0aa130","M",681.2500,t,"59000-000","GRADUAÇÃO"
"0a214a83e93002d6fb04c4d2be0aa130","M",681.2500,t,"59000-000","GRADUAÇÃO"
"2e34bf33c7c6d6b3244d12da74f381f4","F",569.2700,t,"59000-000","GRADUAÇÃO"
"9f685857505dc44bc267be26f3d69314","F",546.7000,f,"59000-000","GRADUAÇÃO"
"fa6d50a2229ea18f942434bf602bd493","M",630.6100,t,"59000-000","GRADUAÇÃO"
"9443b96352772a0aa07a3495e0592669","F",598.0500,t,"59000-000","GRADUAÇÃO"
"1d7d98ccee28b01522b1835e9033938f","M",728.4300,t,"59000-000","GRADUAÇÃO"
"36a71b1d2fa04d63f0c27c19d6e59f3c","F",5.5300,f,"59000-000","GRADUAÇÃO"
"d25f2a3d071e99469c57d4d89099db47","F",622.3700,t,"59000-000","GRADUAÇÃO"
"","F",622.3700,t,"59000-000","GRADUAÇÃO"
"","F",564.2500,f,"59000-000","GRADUAÇÃO"
"6ef7723719dbbe2ff8935be0a38f2ceb","M",558.0200,t,"59000-000","GRADUAÇÃO"
"c0fdb617b625d9ec02ae265475f1d03a","M",645.2200,f,"59000-000","GRADUAÇÃO"
"c0fdb617b625d9ec02ae265475f1d03a","M",645.2200,f,"59000-000","GRADUAÇÃO"
"2bcea5cb628bb1bd28595121d22eefec","M",643.1600,f,"59000-000","GRADUAÇÃO"
"a64929928e5f7549ee1e3a95b45c7a3c","M",624.4800,f,"59000-000","GRADUAÇÃO"
"958b83d834fdfc71e1d754626ee0fa8b","F",531.4800,f,"59000-000","GRADUAÇÃO"
"bb830c0e65b49a76a089da78567ab352","F",730.6100,t,"59000-000","GRADUAÇÃO"
"4a3c178f0bc09089cd45eb370598eb71","F",448.2500,f,"59000-000","GRADUAÇÃO"
"d59ce8475ed8c10812647724938ab926","M",571.6800,t,"59000-000","GRADUAÇÃO"
"7e5fc0f72ba5c5959bb518c5fa2d7ac6","M",617.7800,t,"59000-000","GRADUAÇÃO"
"17f595cd5eb0a932fef6de3bee05f51a","M",694.8200,t,"59000-000","GRADUAÇÃO"
"107c47126e86bd530c25d414c259e67a","M",753.4700,f,"59000-000","GRADUAÇÃO"
"5c15d36507061f5928a1f37bb0e19c9c","M",657.9800,f,"59000-000","GRADUAÇÃO"
"efd14a11fcafe3be17ce1f075dbd3dd0","F",627.0200,f,"59000-000","GRADUAÇÃO"
"30fbc8fd50b4fa3cd6368517ccf1bb14","F",600.7100,t,"59000-000","GRADUAÇÃO"
"30fbc8fd50b4fa3cd6368517ccf1bb14","F",600.7100,t,"59000-000","GRADUAÇÃO"
"44ecc09e2d616eb61b573f0e0bd1d57d","M",627.7100,t,"59000-000","GRADUAÇÃO"
"44ecc09e2d616eb61b573f0e0bd1d57d","M",627.7100,t,"59000-000","GRADUAÇÃO"
"","F",619.8300,t,"59000-000","GRADUAÇÃO"
"8a116f8e5c9d5873a28a06e0531cb048","F",610.8800,t,"59000-000","GRADUAÇÃO"
"257850a7762151378a0b5f929f74d597","F",563.1100,t,"59000-000","GRADUAÇÃO"
"f6998cfd383b5275599637c2719766af","M",538.5100,t,"59000-000","GRADUAÇÃO"
"4d6366ee5d3642de229977898874a5e4","M",705.5200,f,"59000-000","GRADUAÇÃO"
"926c0223aa820a6d8a2e31f21a0e4bf2","M",735.9100,f,"59000-000","GRADUAÇÃO"
"285b6408b48fc3663bdb3e721bb0eb3a","M",632.1500,f,"59000-000","GRADUAÇÃO"
"5eafa4fff5ceb96b78a2fb2fe985c310","M",632.1500,f,"59000-000","GRADUAÇÃO"
